Path,Sample.Name,Phenotype,Cell.ID,Total.Cells,Cell.X.Position,Cell.Y.Position,CD8,FoxP3,PD.L1,CD4,Treg,APC,Epithelial,Tcell,CellType,Group,Patient
C:\Users\Sam\Documents\Normal Pancreas - TMAs,1027_1.im3,Epithelial,1838,0,1306,616,neg,neg,neg,pos,neg,neg,pos,neg,Tumor,Chronic Pancreatitis,1027
C:\Users\Sam\Documents\Normal Pancreas - TMAs,1027_1.im3,Epithelial,1849,0,1291,620,neg,neg,neg,pos,neg,neg,pos,neg,Tumor,Chronic Pancreatitis,1027
C:\Users\Sam\Documents\Normal Pancreas - TMAs,1027_1.im3,Epithelial,1886,0,1291,638,neg,neg,neg,pos,neg,neg,pos,neg,Tumor,Chronic Pancreatitis,1027
C:\Users\Sam\Documents\Normal Pancreas - TMAs,1027_1.im3,Other,1871,0,1262,631,neg,neg,neg,pos,neg,neg,neg,neg,Other,Chronic Pancreatitis,1027
C:\Users\Sam\Documents\Normal Pancreas - TMAs,1027_1.im3,Other,1913,0,1249,645,neg,neg,neg,pos,neg,neg,neg,neg,Other,Chronic Pancreatitis,1027
C:\Users\Sam\Documents\Normal Pancreas - TMAs,1027_1.im3,Epithelial,1919,0,1282,646,neg,neg,neg,pos,neg,neg,pos,neg,Tumor,Chronic Pancreatitis,1027
C:\Users\Sam\Documents\Normal Pancreas - TMAs,1027_1.im3,Other,1833,0,1223,615,neg,neg,neg,pos,neg,neg,neg,neg,Other,Chronic Pancreatitis,1027
C:\Users\Sam\Documents\Normal Pancreas - TMAs,1027_1.im3,Other,1855,0,1155,624,neg,neg,neg,pos,neg,neg,neg,neg,Other,Chronic Pancreatitis,1027
C:\Users\Sam\Documents\Normal Pancreas - TMAs,1027_1.im3,Other,1912,0,1169,644,neg,neg,neg,pos,neg,neg,neg,neg,Other,Chronic Pancreatitis,1027
C:\Users\Sam\Documents\Normal Pancreas - TMAs,1027_1.im3,Tcell,1834,0,1071,617,pos,neg,neg,neg,neg,neg,neg,pos,CTL,Chronic Pancreatitis,1027
C:\Users\Sam\Documents\Normal Pancreas - TMAs,1027_1.im3,APC,1843,0,1066,621,pos,neg,neg,neg,neg,pos,neg,neg,APC,Chronic Pancreatitis,1027
C:\Users\Sam\Documents\Normal Pancreas - TMAs,1027_1.im3,Tcell,1848,0,1073,624,pos,neg,neg,neg,neg,neg,neg,pos,CTL,Chronic Pancreatitis,1027
C:\Users\Sam\Documents\Normal Pancreas - TMAs,1027_1.im3,Epithelial,1875,0,1075,634,neg,neg,neg,pos,neg,neg,pos,neg,Tumor,Chronic Pancreatitis,1027
C:\Users\Sam\Documents\Normal Pancreas - TMAs,1027_1.im3,Epithelial,1892,0,1079,640,neg,neg,neg,pos,neg,neg,pos,neg,Tumor,Chronic Pancreatitis,1027
C:\Users\Sam\Documents\Normal Pancreas - TMAs,1027_1.im3,Epithelial,1896,0,1071,637,neg,neg,neg,pos,neg,neg,pos,neg,Tumor,Chronic Pancreatitis,1027
C:\Users\Sam\Documents\Normal Pancreas - TMAs,1027_1.im3,Epithelial,1918,0,1061,645,neg,neg,neg,pos,neg,neg,pos,neg,Tumor,Chronic Pancreatitis,1027
C:\Users\Sam\Documents\Normal Pancreas - TMAs,1027_1.im3,Epithelial,1807,0,738,618,neg,neg,neg,pos,neg,neg,pos,neg,Tumor,Chronic Pancreatitis,1027
C:\Users\Sam\Documents\Normal Pancreas - TMAs,1027_1.im3,Other,1836,0,698,617,neg,neg,neg,pos,neg,neg,neg,neg,Other,Chronic Pancreatitis,1027
C:\Users\Sam\Documents\Normal Pancreas - TMAs,1027_1.im3,Epithelial,1842,0,734,622,neg,neg,neg,pos,neg,neg,pos,neg,Tumor,Chronic Pancreatitis,1027
C:\Users\Sam\Documents\Normal Pancreas - TMAs,1027_1.im3,Epithelial,1864,0,734,629,neg,neg,neg,pos,neg,neg,pos,neg,Tumor,Chronic Pancreatitis,1027
C:\Users\Sam\Documents\Normal Pancreas - TMAs,1027_1.im3,Epithelial,1877,0,734,633,neg,neg,neg,pos,neg,neg,pos,neg,Tumor,Chronic Pancreatitis,1027
C:\Users\Sam\Documents\Normal Pancreas - TMAs,1027_1.im3,Other,1908,0,694,647,neg,neg,neg,pos,neg,neg,neg,neg,Other,Chronic Pancreatitis,1027
C:\Users\Sam\Documents\Normal Pancreas - TMAs,1027_1.im3,Epithelial,1909,0,731,643,neg,neg,neg,pos,neg,neg,pos,neg,Tumor,Chronic Pancreatitis,1027
C:\Users\Sam\Documents\Normal Pancreas - TMAs,1027_1.im3,Epithelial,1917,0,733,645,neg,neg,neg,pos,neg,neg,pos,neg,Tumor,Chronic Pancreatitis,1027
C:\Users\Sam\Documents\Normal Pancreas - TMAs,1027_1.im3,Other,1856,0,304,625,neg,neg,neg,pos,neg,neg,neg,neg,Other,Chronic Pancreatitis,1027
C:\Users\Sam\Documents\Normal Pancreas - TMAs,1027_1.im3,Other,1862,0,279,628,neg,neg,neg,pos,neg,neg,neg,neg,Other,Chronic Pancreatitis,1027
C:\Users\Sam\Documents\Normal Pancreas - TMAs,1027_1.im3,Other,1888,0,287,638,neg,neg,neg,pos,neg,neg,neg,neg,Other,Chronic Pancreatitis,1027
C:\Users\Sam\Documents\Normal Pancreas - TMAs,1027_1.im3,Other,1867,0,257,629,neg,neg,neg,pos,neg,neg,neg,neg,Other,Chronic Pancreatitis,1027
C:\Users\Sam\Documents\Normal Pancreas - TMAs,1027_1.im3,Other,1878,0,234,636,neg,neg,neg,pos,neg,neg,neg,neg,Other,Chronic Pancreatitis,1027
C:\Users\Sam\Documents\Normal Pancreas - TMAs,1027_1.im3,Other,1898,0,233,641,neg,neg,neg,pos,neg,neg,neg,neg,Other,Chronic Pancreatitis,1027
C:\Users\Sam\Documents\Normal Pancreas - TMAs,1027_1.im3,Epithelial,1959,0,1372,663,neg,neg,neg,pos,neg,neg,pos,neg,Tumor,Chronic Pancreatitis,1027
C:\Users\Sam\Documents\Normal Pancreas - TMAs,1027_1.im3,Epithelial,1981,0,1376,670,neg,neg,neg,pos,neg,neg,pos,neg,Tumor,Chronic Pancreatitis,1027
C:\Users\Sam\Documents\Normal Pancreas - TMAs,1027_1.im3,Tcell,1937,0,1232,655,neg,neg,neg,pos,neg,neg,neg,pos,Helper T-Cell,Chronic Pancreatitis,1027
C:\Users\Sam\Documents\Normal Pancreas - TMAs,1027_1.im3,Other,2006,0,1190,678,neg,neg,neg,pos,neg,neg,neg,neg,Other,Chronic Pancreatitis,1027
C:\Users\Sam\Documents\Normal Pancreas - TMAs,1027_1.im3,Other,1927,0,1137,652,neg,neg,neg,pos,neg,neg,neg,neg,Other,Chronic Pancreatitis,1027
C:\Users\Sam\Documents\Normal Pancreas - TMAs,1027_1.im3,Other,1980,0,1067,670,neg,neg,neg,pos,neg,neg,neg,neg,Other,Chronic Pancreatitis,1027
C:\Users\Sam\Documents\Normal Pancreas - TMAs,1027_1.im3,Other,2002,0,1075,676,neg,neg,neg,pos,neg,neg,neg,neg,Other,Chronic Pancreatitis,1027
C:\Users\Sam\Documents\Normal Pancreas - TMAs,1027_1.im3,Epithelial,1965,0,543,667,neg,neg,neg,pos,neg,neg,pos,neg,Tumor,Chronic Pancreatitis,1027
C:\Users\Sam\Documents\Normal Pancreas - TMAs,1027_1.im3,Epithelial,1985,0,538,672,neg,neg,neg,pos,neg,neg,pos,neg,Tumor,Chronic Pancreatitis,1027
C:\Users\Sam\Documents\Normal Pancreas - TMAs,1027_1.im3,Epithelial,2005,0,524,677,neg,neg,neg,pos,neg,neg,pos,neg,Tumor,Chronic Pancreatitis,1027
C:\Users\Sam\Documents\Normal Pancreas - TMAs,1027_1.im3,Other,1925,0,268,652,neg,neg,neg,pos,neg,neg,neg,neg,Other,Chronic Pancreatitis,1027
C:\Users\Sam\Documents\Normal Pancreas - TMAs,1027_1.im3,Other,1939,0,271,657,neg,neg,neg,pos,neg,neg,neg,neg,Other,Chronic Pancreatitis,1027
C:\Users\Sam\Documents\Normal Pancreas - TMAs,1027_1.im3,Epithelial,2008,0,272,679,neg,neg,neg,pos,neg,neg,pos,neg,Tumor,Chronic Pancreatitis,1027
C:\Users\Sam\Documents\Normal Pancreas - TMAs,1027_1.im3,Other,1955,0,209,660,neg,neg,neg,pos,neg,neg,neg,neg,Other,Chronic Pancreatitis,1027
C:\Users\Sam\Documents\Normal Pancreas - TMAs,1027_1.im3,Other,1933,0,155,655,neg,neg,neg,pos,neg,neg,neg,neg,Other,Chronic Pancreatitis,1027
C:\Users\Sam\Documents\Normal Pancreas - TMAs,1027_1.im3,Other,1977,0,160,669,neg,neg,neg,pos,neg,neg,neg,neg,Other,Chronic Pancreatitis,1027
C:\Users\Sam\Documents\Normal Pancreas - TMAs,1027_1.im3,Other,1999,0,150,675,neg,neg,neg,pos,neg,neg,neg,neg,Other,Chronic Pancreatitis,1027
C:\Users\Sam\Documents\Normal Pancreas - TMAs,1027_1.im3,Epithelial,1946,0,103,657,neg,neg,neg,pos,neg,neg,pos,neg,Tumor,Chronic Pancreatitis,1027
C:\Users\Sam\Documents\Normal Pancreas - TMAs,1027_1.im3,Other,1968,0,133,666,neg,neg,neg,pos,neg,neg,neg,neg,Other,Chronic Pancreatitis,1027
C:\Users\Sam\Documents\Normal Pancreas - TMAs,1027_1.im3,Other,1970,0,109,666,neg,neg,neg,pos,neg,neg,neg,neg,Other,Chronic Pancreatitis,1027
C:\Users\Sam\Documents\Normal Pancreas - TMAs,1027_1.im3,Other,1993,0,132,675,neg,neg,neg,pos,neg,neg,neg,neg,Other,Chronic Pancreatitis,1027
C:\Users\Sam\Documents\Normal Pancreas - TMAs,1027_1.im3,Epithelial,1907,0,75,648,neg,neg,neg,pos,neg,neg,pos,neg,Tumor,Chronic Pancreatitis,1027
